Source;Target;Weight;Type
HAPPY HOGAN;WOMAN IN SUV;1;Undirected
HAPPY HOGAN;KID IN SUV;1;Undirected
HAPPY HOGAN;GULMIRA KID;1;Undirected
HAPPY HOGAN;GULMIRA MOM;1;Undirected
HAPPY HOGAN;REPORTER;1;Undirected
HAPPY HOGAN;FLIGHT ATTENDANT;1;Undirected
HAPPY HOGAN;AIR FORCE LIEUTENANT;1;Undirected
HAPPY HOGAN;ZORIANNA KIT;1;Undirected
HAPPY HOGAN;STAN'S GIRL;1;Undirected
HAPPY HOGAN;CAOC ANALYST";1;Undirected
DIRECTOR NICK FURY;STAN LEE;1;Undirected
DIRECTOR NICK FURY;GUARD;2;Undirected
DIRECTOR NICK FURY;JIM CRAMER;1;Undirected
DIRECTOR NICK FURY;ABU BAKAAR;1;Undirected
DIRECTOR NICK FURY;GENERAL GABRIEL;1;Undirected
DIRECTOR NICK FURY;WILLIAM GINTER RIVA;1;Undirected
DIRECTOR NICK FURY;MAJOR ALLEN;2;Undirected
DIRECTOR NICK FURY;JIMMY;1;Undirected
DIRECTOR NICK FURY;PRATT;1;Undirected
